score,content,text_clean,text_Stopword,text_tokens,text_tokens_stemmed,Label
5,"Lumayan dengan harga tiket dan voucher cemilan pinggir pantai. Pelayanan ramah. Jangan berekspektasi kaya bogor dan prigen ya harga tiketnya saja beda. Saat berkunjung hewannya masih ada yg coming soon, semoga hewannya lebih banyak lagi",lumayan dengan harga tiket dan voucher cemilan pinggir pantai pelayanan ramah jangan berekspektasi kaya bogor dan prigen ya harga tiketnya saja beda saat berkunjung hewannya masih ada yg coming soon semoga hewannya lebih banyak lagi,lumayan harga tiket voucher cemilan pinggir pantai pelayanan ramah berekspektasi kaya bogor prigen ya harga tiketnya beda berkunjung hewannya yg coming soon semoga hewannya,"['lumayan', 'harga', 'tiket', 'voucher', 'cemilan', 'pinggir', 'pantai', 'pelayanan', 'ramah', 'berekspektasi', 'kaya', 'bogor', 'prigen', 'ya', 'harga', 'tiketnya', 'beda', 'berkunjung', 'hewannya', 'yg', 'coming', 'soon', 'semoga', 'hewannya']",lumayan harga tiket voucher cemilan pinggir pantai layan ramah berekspektasi kaya bogor prigen ya harga tiket beda kunjung hewan yg coming soon moga hewan,positif
5,Recomended untuk berekreasi dan edukasi anak anak..,recomended untuk berekreasi dan edukasi anak anak,recomended berekreasi edukasi anak anak,"['recomended', 'berekreasi', 'edukasi', 'anak', 'anak']",recomended rekreasi edukasi anak anak,positif
4,"Murah,cmn masih kirang banyak dan tertata",murahcmn masih kirang banyak dan tertata,murahcmn kirang tertata,"['murahcmn', 'kirang', 'tertata']",murahcmn kirang tata,positif
5,Menyenangkan,menyenangkan,menyenangkan,['menyenangkan'],senang,positif
2,Beach safari Batang Jawa tengah 👍 …,beach safari batang jawa tengah  ,beach safari batang jawa,"['beach', 'safari', 'batang', 'jawa']",beach safari batang jawa,negatif
4,"Sedang dalam perbaikan di beberpa sisi jadi agak terlihat berantakan, mungkin mengejar agar saat libur lebaran sudah rapi",sedang dalam perbaikan di beberpa sisi jadi agak terlihat berantakan mungkin mengejar agar saat libur lebaran sudah rapi,perbaikan beberpa sisi berantakan mengejar libur lebaran rapi,"['perbaikan', 'beberpa', 'sisi', 'berantakan', 'mengejar', 'libur', 'lebaran', 'rapi']",baik beberpa sisi beranta kejar libur lebaran rapi,positif
5,"Cocok untuk berlibur bersama keluarga
Pentas LUMBA - LUMBA
Naik GAJAH …",cocok untuk berlibur bersama keluargapentas lumba  lumbanaik gajah ,cocok berlibur keluargapentas lumba lumbanaik gajah,"['cocok', 'berlibur', 'keluargapentas', 'lumba', 'lumbanaik', 'gajah']",cocok libur keluargapentas lumba lumbanaik gajah,positif
4,"Bagus, sayang kecil dan kurang bersih",bagus sayang kecil dan kurang bersih,bagus sayang bersih,"['bagus', 'sayang', 'bersih']",bagus sayang bersih,positif
5,Tempat yang recomend buat berlibur bersama keluarga. Untuk pantainya sangat indah,tempat yang recomend buat berlibur bersama keluarga untuk pantainya sangat indah,recomend berlibur keluarga pantainya indah,"['recomend', 'berlibur', 'keluarga', 'pantainya', 'indah']",recomend libur keluarga pantai indah,positif
5,Bagus,bagus,bagus,['bagus'],bagus,positif
4,"Tempat edukasi bagus, tempat terawat walau masih dalam tahap pengembangan.. Tapi jalan ke area pertunjukan satwa dari pintu masuk teramat jauh, tifak stroller friendly, bahkan bukan jalan yg bagus untuk pejalan kaki apalgi jika bawa anak lbh dari 1.tapi pertunjukan hewan nya bagus, hewan terawat",tempat edukasi bagus tempat terawat walau masih dalam tahap pengembangan tapi jalan ke area pertunjukan satwa dari pintu masuk teramat jauh tifak stroller friendly bahkan bukan jalan yg bagus untuk pejalan kaki apalgi jika bawa anak lbh dari 1tapi pertunjukan hewan nya bagus hewan terawat,edukasi bagus terawat tahap pengembangan jalan area pertunjukan satwa pintu masuk teramat tifak stroller friendly jalan yg bagus pejalan kaki apalgi bawa anak lbh 1tapi pertunjukan hewan nya bagus hewan terawat,"['edukasi', 'bagus', 'terawat', 'tahap', 'pengembangan', 'jalan', 'area', 'pertunjukan', 'satwa', 'pintu', 'masuk', 'teramat', 'tifak', 'stroller', 'friendly', 'jalan', 'yg', 'bagus', 'pejalan', 'kaki', 'apalgi', 'bawa', 'anak', 'lbh', '1tapi', 'pertunjukan', 'hewan', 'nya', 'bagus', 'hewan', 'terawat']",edukasi bagus awat tahap kembang jalan area tunjuk satwa pintu masuk amat tifak stroller friendly jalan yg bagus pejal kaki apalgi bawa anak lbh 1tapi tunjuk hewan nya bagus hewan awat,positif
5,"Atraksi lumba2nya sudah update. Sudah kesini 3 kali alhamdulillah selalu puas dengan atraksi lumba2nya. Pantainya bersih, enak buat mainan anak2",atraksi lumba2nya sudah update sudah kesini 3 kali alhamdulillah selalu puas dengan atraksi lumba2nya pantainya bersih enak buat mainan anak2,atraksi lumba2nya update kesini 3 kali alhamdulillah puas atraksi lumba2nya pantainya bersih enak mainan anak2,"['atraksi', 'lumba2nya', 'update', 'kesini', '3', 'kali', 'alhamdulillah', 'puas', 'atraksi', 'lumba2nya', 'pantainya', 'bersih', 'enak', 'mainan', 'anak2']",atraksi lumba2nya update kesini 3 kali alhamdulillah puas atraksi lumba2nya pantai bersih enak main anak2,positif
1,Coba aja pasti menyesal,coba aja pasti menyesal,coba aja menyesal,"['coba', 'aja', 'menyesal']",coba aja sesal,negatif
5,Ready bunga segar,ready bunga segar,ready bunga segar,"['ready', 'bunga', 'segar']",ready bunga segar,positif
5,Pertunjukan satwa dan lumba lumba menarik,pertunjukan satwa dan lumba lumba menarik,pertunjukan satwa lumba lumba menarik,"['pertunjukan', 'satwa', 'lumba', 'lumba', 'menarik']",tunjuk satwa lumba lumba tarik,positif
5,tujuan yang bagus,tujuan yang bagus,tujuan bagus,"['tujuan', 'bagus']",tuju bagus,positif
5,"tempat wisata yang sangat bagus , sangat cocok untuk piknik keluarga",tempat wisata yang sangat bagus  sangat cocok untuk piknik keluarga,wisata bagus cocok piknik keluarga,"['wisata', 'bagus', 'cocok', 'piknik', 'keluarga']",wisata bagus cocok piknik keluarga,positif
5,SERU BGT,seru bgt,seru bgt,"['seru', 'bgt']",seru bgt,positif
5,"Mantabs
Lebih keren lagi kalau ditanbah binatangnya",mantabslebih keren lagi kalau ditanbah binatangnya,mantabslebih keren ditanbah binatangnya,"['mantabslebih', 'keren', 'ditanbah', 'binatangnya']",mantabslebih keren ditanbah binatang,positif
5,Lumba lumbanya bisa berenang keren,lumba lumbanya bisa berenang keren,lumba lumbanya berenang keren,"['lumba', 'lumbanya', 'berenang', 'keren']",lumba lumbanya renang keren,positif
5,"untuk staffnya dari pintu masuk hingga di dalam ramah""...terutama buat yg jaga pintu masuk di lumba""...super sabar meskipun di bentak"" org tetap sabar dan ramah...",untuk staffnya dari pintu masuk hingga di dalam ramahterutama buat yg jaga pintu masuk di lumbasuper sabar meskipun di bentak org tetap sabar dan ramah,staffnya pintu masuk ramahterutama yg jaga pintu masuk lumbasuper sabar bentak org sabar ramah,"['staffnya', 'pintu', 'masuk', 'ramahterutama', 'yg', 'jaga', 'pintu', 'masuk', 'lumbasuper', 'sabar', 'bentak', 'org', 'sabar', 'ramah']",staffnya pintu masuk ramahterutama yg jaga pintu masuk lumbasuper sabar bentak org sabar ramah,positif
1,"Tiket masuk dewasa 70rb/orang, anak diatas 2th 50rb/anak. Dapat voucher 10rb/tiket.
Naik gajah 50rb/orang. Jadi kalau anak diatas 2th+pendamping harganya 100rb. …",tiket masuk dewasa 70rborang anak diatas 2th 50rbanak dapat voucher 10rbtiketnaik gajah 50rborang jadi kalau anak diatas 2thpendamping harganya 100rb ,tiket masuk dewasa 70rborang anak diatas 2th 50rbanak voucher 10rbtiketnaik gajah 50rborang anak diatas 2thpendamping harganya 100rb,"['tiket', 'masuk', 'dewasa', '70rborang', 'anak', 'diatas', '2th', '50rbanak', 'voucher', '10rbtiketnaik', 'gajah', '50rborang', 'anak', 'diatas', '2thpendamping', 'harganya', '100rb']",tiket masuk dewasa 70rborang anak atas 2th 50rbanak voucher 10rbtiketnaik gajah 50rborang anak atas 2thpendamping harga 100rb,negatif
1,"Tidak recomended sama sekali.. Tiket mahal, wahana sedikit, ga boleh bawa makanan dr luar, beli didalam mesti pakai Qris.. Antri",tidak recomended sama sekali tiket mahal wahana sedikit ga boleh bawa makanan dr luar beli didalam mesti pakai qris antri,recomended tiket mahal wahana ga bawa makanan dr beli didalam mesti pakai qris antri,"['recomended', 'tiket', 'mahal', 'wahana', 'ga', 'bawa', 'makanan', 'dr', 'beli', 'didalam', 'mesti', 'pakai', 'qris', 'antri']",recomended tiket mahal wahana ga bawa makan dr beli dalam mesti pakai qris antri,negatif
4,"Taman satwa di pantai,tiket masuk dws 80rb,anak 50rb.
Kl mau milih ke pantai aja jg bisa...
Sebelum masuk jg ada tiket masuk kawasan wisata 4rb per org. …",taman satwa di pantaitiket masuk dws 80rbanak 50rbkl mau milih ke pantai aja jg bisasebelum masuk jg ada tiket masuk kawasan wisata 4rb per org ,taman satwa pantaitiket masuk dws 80rbanak 50rbkl milih pantai aja jg bisasebelum masuk jg tiket masuk kawasan wisata 4rb org,"['taman', 'satwa', 'pantaitiket', 'masuk', 'dws', '80rbanak', '50rbkl', 'milih', 'pantai', 'aja', 'jg', 'bisasebelum', 'masuk', 'jg', 'tiket', 'masuk', 'kawasan', 'wisata', '4rb', 'org']",taman satwa pantaitiket masuk dws 80rbanak 50rbkl milih pantai aja jg bisasebelum masuk jg tiket masuk kawasan wisata 4rb org,positif
5,Staff nya dari pintu masuk sampai didalam ramah banget suasana nyaman dan santai buat keluarga harga wajar dan enak enak..... Anak anak betah berlama lama dengan suasananya ... Tiap mudik sepertinya wajib mampir melepas lelah,staff nya dari pintu masuk sampai didalam ramah banget suasana nyaman dan santai buat keluarga harga wajar dan enak enak anak anak betah berlama lama dengan suasananya  tiap mudik sepertinya wajib mampir melepas lelah,staff nya pintu masuk didalam ramah banget suasana nyaman santai keluarga harga wajar enak enak anak anak betah berlama suasananya mudik wajib mampir melepas lelah,"['staff', 'nya', 'pintu', 'masuk', 'didalam', 'ramah', 'banget', 'suasana', 'nyaman', 'santai', 'keluarga', 'harga', 'wajar', 'enak', 'enak', 'anak', 'anak', 'betah', 'berlama', 'suasananya', 'mudik', 'wajib', 'mampir', 'melepas', 'lelah']",staff nya pintu masuk dalam ramah banget suasana nyaman santai keluarga harga wajar enak enak anak anak betah lama suasana mudik wajib mampir lepas lelah,positif
5,so comfy. enak banget untuk berlama-lama disini. family friendly banget. easy access kalau pakai kursi roda untuk makan di blu seafood-nya. pertunjukan lumba-lumbanya juga sangat menarik dan pertunjukan malamnya juga sangat keren. would like to comeback here to spend more time here 🫶🏻. …,so comfy enak banget untuk berlamalama disini family friendly banget easy access kalau pakai kursi roda untuk makan di blu seafoodnya pertunjukan lumbalumbanya juga sangat menarik dan pertunjukan malamnya juga sangat keren would like to comeback here to spend more time here  ,so comfy enak banget berlamalama family friendly banget easy access pakai kursi roda makan blu seafoodnya pertunjukan lumbalumbanya menarik pertunjukan malamnya keren would like to comeback here to spend more time here,"['so', 'comfy', 'enak', 'banget', 'berlamalama', 'family', 'friendly', 'banget', 'easy', 'access', 'pakai', 'kursi', 'roda', 'makan', 'blu', 'seafoodnya', 'pertunjukan', 'lumbalumbanya', 'menarik', 'pertunjukan', 'malamnya', 'keren', 'would', 'like', 'to', 'comeback', 'here', 'to', 'spend', 'more', 'time', 'here']",so comfy enak banget berlamalama family friendly banget easy access pakai kursi roda makan blu seafoodnya tunjuk lumbalumbanya tarik tunjuk malam keren would like to comeback here to spend more time here,positif
5,Malam tahun baru di Beach Safari Batang bersama keluarga sungguh disajikan suasana yg seru dan mengesankan. Keramahan semua team mulai dari area parkir sampai didalam area sangat tulus dan sangat mengesankan. Kopinya enak dan makanannya …,malam tahun baru di beach safari batang bersama keluarga sungguh disajikan suasana yg seru dan mengesankan keramahan semua team mulai dari area parkir sampai didalam area sangat tulus dan sangat mengesankan kopinya enak dan makanannya ,malam beach safari batang keluarga sungguh disajikan suasana yg seru mengesankan keramahan team area parkir didalam area tulus mengesankan kopinya enak makanannya,"['malam', 'beach', 'safari', 'batang', 'keluarga', 'sungguh', 'disajikan', 'suasana', 'yg', 'seru', 'mengesankan', 'keramahan', 'team', 'area', 'parkir', 'didalam', 'area', 'tulus', 'mengesankan', 'kopinya', 'enak', 'makanannya']",malam beach safari batang keluarga sungguh saji suasana yg seru kesan ramah team area parkir dalam area tulus kesan kopi enak makan,positif
4,"yah lumayanlah, stroller aja sampai susah buat jalan karna jalannya masih berbatuan",yah lumayanlah stroller aja sampai susah buat jalan karna jalannya masih berbatuan,yah lumayanlah stroller aja susah jalan karna jalannya berbatuan,"['yah', 'lumayanlah', 'stroller', 'aja', 'susah', 'jalan', 'karna', 'jalannya', 'berbatuan']",yah lumayan stroller aja susah jalan karna jalan batu,positif
5,Datang ke sini saat sedang renovasi di beberapa area tapi tetap puas karena ada atraksi hewan dan lumba-lumba …,datang ke sini saat sedang renovasi di beberapa area tapi tetap puas karena ada atraksi hewan dan lumbalumba ,renovasi area puas atraksi hewan lumbalumba,"['renovasi', 'area', 'puas', 'atraksi', 'hewan', 'lumbalumba']",renovasi area puas atraksi hewan lumbalumba,positif
4,Safari Jateng di Batang merupakan salah satu destinasi wisata keluarga yang terletak di kawasan pesisir pantai utara Jawa Tengah. Tempat ini menawarkan pengalaman wisata yang terjangkau dan menyenangkan dengan suasana alami khas pantai. …,safari jateng di batang merupakan salah satu destinasi wisata keluarga yang terletak di kawasan pesisir pantai utara jawa tengah tempat ini menawarkan pengalaman wisata yang terjangkau dan menyenangkan dengan suasana alami khas pantai ,safari jateng batang salah destinasi wisata keluarga terletak kawasan pesisir pantai utara jawa menawarkan pengalaman wisata terjangkau menyenangkan suasana alami khas pantai,"['safari', 'jateng', 'batang', 'salah', 'destinasi', 'wisata', 'keluarga', 'terletak', 'kawasan', 'pesisir', 'pantai', 'utara', 'jawa', 'menawarkan', 'pengalaman', 'wisata', 'terjangkau', 'menyenangkan', 'suasana', 'alami', 'khas', 'pantai']",safari jateng batang salah destinasi wisata keluarga letak kawasan pesisir pantai utara jawa tawar alam wisata jangkau senang suasana alami khas pantai,positif
1,"GBLK MAKANAN NITIP DI PENITIPAN ILANG SEMUA PAS MAU BALIK,YANG LAIN BAWA MASUK BOLEH MIKIR BLOK",gblk makanan nitip di penitipan ilang semua pas mau balikyang lain bawa masuk boleh mikir blok,gblk makanan nitip penitipan ilang pas balikyang bawa masuk mikir blok,"['gblk', 'makanan', 'nitip', 'penitipan', 'ilang', 'pas', 'balikyang', 'bawa', 'masuk', 'mikir', 'blok']",gblk makan nitip titip ilang pas balikyang bawa masuk mikir blok,negatif
4,"Tiket masuk 70rb dewasa 50rb anak 2-6 tahun.
Free akses untuk akses pantai, animal show.
Untuk naik kuda nambah 25k, naik gajah 50k, naik unta 50k, masuk bird apa si itu …",tiket masuk 70rb dewasa 50rb anak 26 tahunfree akses untuk akses pantai animal showuntuk naik kuda nambah 25k naik gajah 50k naik unta 50k masuk bird apa si itu ,tiket masuk 70rb dewasa 50rb anak 26 tahunfree akses akses pantai animal showuntuk kuda nambah 25k gajah 50k unta 50k masuk bird si,"['tiket', 'masuk', '70rb', 'dewasa', '50rb', 'anak', '26', 'tahunfree', 'akses', 'akses', 'pantai', 'animal', 'showuntuk', 'kuda', 'nambah', '25k', 'gajah', '50k', 'unta', '50k', 'masuk', 'bird', 'si']",tiket masuk 70rb dewasa 50rb anak 26 tahunfree akses akses pantai animal showuntuk kuda nambah 25k gajah 50k unta 50k masuk bird si,positif
4,"Kedua kalinya kesini, ternyata tempatnya masih saja ada pembangunan. Menurut saya ini cukup mengganggu sih, karena pengunjung harus jalan memutar, dan jalannya becek karena hujan. Kalau kesini jgn lupa pakai sepatu. Sebenarnya taman safari …",kedua kalinya kesini ternyata tempatnya masih saja ada pembangunan menurut saya ini cukup mengganggu sih karena pengunjung harus jalan memutar dan jalannya becek karena hujan kalau kesini jgn lupa pakai sepatu sebenarnya taman safari ,kalinya kesini tempatnya pembangunan mengganggu sih pengunjung jalan memutar jalannya becek hujan kesini jgn lupa pakai sepatu taman safari,"['kalinya', 'kesini', 'tempatnya', 'pembangunan', 'mengganggu', 'sih', 'pengunjung', 'jalan', 'memutar', 'jalannya', 'becek', 'hujan', 'kesini', 'jgn', 'lupa', 'pakai', 'sepatu', 'taman', 'safari']",kali kesini tempat bangun ganggu sih unjung jalan putar jalan becek hujan kesini jgn lupa pakai sepatu taman safari,positif
2,"1. nggak all in.
di depann bgt ada tarikan uang 5k/org buat masuk ke pantai (gatau itu resmi atau nggak). …",1 nggak all indi depann bgt ada tarikan uang 5korg buat masuk ke pantai gatau itu resmi atau nggak ,1 nggak all indi depann bgt tarikan uang 5korg masuk pantai gatau resmi nggak,"['1', 'nggak', 'all', 'indi', 'depann', 'bgt', 'tarikan', 'uang', '5korg', 'masuk', 'pantai', 'gatau', 'resmi', 'nggak']",1 nggak all indi depann bgt tari uang 5korg masuk pantai gatau resmi nggak,negatif
1,"Di paksa pakai gelang kertas tanda masuk di depan anak & istri serta keluarga besar sy, dari kecil sy gak suka pakai cincin atau gelang. Dan sy lihat ada beberapa pengunjung lain yg tidak pakai dan tdk di paksa pakai...",di paksa pakai gelang kertas tanda masuk di depan anak  istri serta keluarga besar sy dari kecil sy gak suka pakai cincin atau gelang dan sy lihat ada beberapa pengunjung lain yg tidak pakai dan tdk di paksa pakai,paksa pakai gelang kertas tanda masuk anak istri keluarga sy sy gak suka pakai cincin gelang sy lihat pengunjung yg pakai tdk paksa pakai,"['paksa', 'pakai', 'gelang', 'kertas', 'tanda', 'masuk', 'anak', 'istri', 'keluarga', 'sy', 'sy', 'gak', 'suka', 'pakai', 'cincin', 'gelang', 'sy', 'lihat', 'pengunjung', 'yg', 'pakai', 'tdk', 'paksa', 'pakai']",paksa pakai gelang kertas tanda masuk anak istri keluarga sy sy gak suka pakai cincin gelang sy lihat unjung yg pakai tdk paksa pakai,negatif
4,Tempat rekreasi pantai yg oke dan edukasi bermacam² binatang,tempat rekreasi pantai yg oke dan edukasi bermacam binatang,rekreasi pantai yg oke edukasi binatang,"['rekreasi', 'pantai', 'yg', 'oke', 'edukasi', 'binatang']",rekreasi pantai yg oke edukasi binatang,positif
5,"Pantainya bersih, tarip wajar tetapi sayang ada pos retribusi masyarakat sebelum masuk lokasi.",pantainya bersih tarip wajar tetapi sayang ada pos retribusi masyarakat sebelum masuk lokasi,pantainya bersih tarip wajar sayang pos retribusi masyarakat masuk lokasi,"['pantainya', 'bersih', 'tarip', 'wajar', 'sayang', 'pos', 'retribusi', 'masyarakat', 'masuk', 'lokasi']",pantai bersih tarip wajar sayang pos retribusi masyarakat masuk lokasi,positif
5,Ganti nama.??,ganti nama,ganti nama,"['ganti', 'nama']",ganti nama,positif
5,Kerenn,kerenn,kerenn,['kerenn'],kerenn,positif
