Name,content,score
Gesit Yulian,Terimakasih,5
Danang Saputro,"Trimakasih telah merawat bapak saya , dan trimakasih dengan pelayanan yg ramah. Semoga bisa lebih baik lagi.",5
Norma Shinta,"Pelayanan lama, kalau memang ada jadwal op bisa konfirmasikan dulu jelasnya ke pasien"" lain, atau tambah personil dokternya sekalian. Jadwal kontrol harus rutin 1 minggu sekali tapi pelayanan lama buat apa? Bukanya membaik malah makin drop pasiennya. Cari solusi jangan cuma baca + reply jawaban saja.",1
Riska Septiani,"sumpah lamaaaa bangett udh daftar online udah,malah dokternya yg datengnya sianggg bangettt.",4
Fathin Cantik,"PELAYANAN BURUK ADE SAYA KEJANG2 GAK DIDAHULUKAN DAHULU, AKHIRNYA TIDAK JADI KESITU PALING BURUK PELAYANANNYA BINTANG 0😡😡😡😡😡😡😡😡😡😡😡😡😡😡😡😡😡😡😡😡😡😡😡😡😡😡😡😡😡😡 …",1
Anggoro Vision,Umum,4
Ranii wahidin,"Pelayanan baik,cepat,memuaskan",5
Chimouth Chi,"ruangan nya nyaman, perawatnyarama² juga",5
Farel Zadanial hadi,"Terimakasih pak satpam yg sudah membantu dan pelayanan untuk poli ramah""",5
Dea imut,"Bagus dan siaga 24 jam,,Terimakasih Banyak atas pelayanannya buat anak kami,,
ruang Anak Flamboyan",5
Usnul Hotmh,"pelyanan serta fasilitas yang ada di RSUD kajen cukup baik, administrasi pendaftaran juga ramah ramah dan mengarahka, membantu pasien sekali",5
Nurrohmah Indriyani,"Untuk fasilitas sudah baik, namun untuk ruang tunggu bisa diperluas lagi. Terima kasih",5
dj_ ewong,Pelayanan dan fasilitas yang diberikan memuaskan,5
Ramadi,Alhamdulilah pelayanan memuaskan dan trimakasih kepada petugas medis RSUD Kajen,5
Cais Dalas,"Pelayanan serta fasilitas yang diberikan sngt baik serta memuaskan, petugas sagat mangarahkan dan membantu",5
suharyo 26,"Pelayanan sangat memuaskan dan mengarahkan sekali ke pasien yang baru pertama datang, membantu",5
J Collection,No review text,1
azka irsyada,Pelayanan prima,5
Marsya Putri,Saya msuk ambil kmr viv tp kaya orang g bayar..,1
Agus Hadi,Playanan yang diberikan sangat baik,5
Danang Kedungwuni,"Pelayanan di rsud kajen sangat memuaskan apa lagi sekarang ini fasilitas yang diberikan sangat memudahkan pasien, tempat tunggu nyaman, petugas yang melayani satset... Kedepannya semoga semakin dipertahankan dan ditingkatkan agar lebih baik 👍👍 …",5
Fery,Terima kasih rsud kajen,5
Una Opa,"Terima kasih RSUD Kajen, kuli Ten ruang Wijaya Kusuma",5
Dilla Setiani,No review text,5
Ahda Amelia Salsabila,"pelayanan sangat bagus, perawat ramah",5
Yulian Rafif,banyak petugas magang kah?,1
Titik Pujiana,Terimakasih atas pelayanan Alamanda,5
Febi Faiza husna,Baru pertama kali disini,5
Ananda Amell,No review text,5
Nadia Mutia,No review text,5
Eny Oktavia,No review text,5
Kezia Anggun,No review text,5
Della Trimutiara,Baru pertama kali praktek,5
Mutia Milasari,baru pertama kali praktek disini,5
Ayu Kusumawati,oke,5
Putri Mawar,"Baru pertama kali di pratek klinik di RS Kajen tempat nya luas dan bersih orangnya ramah""",5
Ova Desiva,Baru pertama kali Praktik di RSUD Kajen,5
Devan Alfn,No review text,5
Deffney Aurora Eka Putri,No review text,5
Rika Oktavia,"Rumh sakitnya bersih, nyaman, pegawai nya ramah. Good joob pokoknya :)",5
FADILA AGUSTINA,tempat yang nyaman dan sejuk karena berada didekat gunung.,5
Rahma Amalia,Wah sangat menyenangkan sekali bisa magang d RSUD Kajen🥰🥰 …,5
Fatimatuz Zahra,"RSUD kajen pekalongan tempatnya sangat bersih, pelayanan nya sangat baik",5
Bang Sakip,Bagus,5
Haninda 97,Sgt nyaman,5
ila maulida syifa malikha,Bagus👍🏻 …,5
Alya Rahma Tsania,bagusss,5
anggi melania putri,No review text,5
Fiki Demak,Dimainkan dengan baik,5
Mas Kev,pelayanan bagus dan terjamin kualitasnya🙏 …,5
Rizki Irgiyanto,mantap min,5
Firman Syah16,Pelayanannya cukup cepat dan ramah,5
Fia Dahlia09,Bagus,5
Farrel Shaquilla,mantapp min,5
Luth fia,Parkirannya luas,5
Ananda Oksafrida,No review text,5
aisyah saputri,No review text,5
imala putri,Rumah sakitnya keren🧡🧡🧡 …,5
iqbal wildan,Pelayanannya cepat dan ramah,5
Regina Olivia,mantap,5
RianaRiani wulan febriani Wulan febriani,Memuaskan sekali pelayanan yang diberikan di rsud kajen,5
Citra Ratnasari,Alhamduliah pelayanan di rsud kajen sangat memuaskan dan satset tidak perlu menunggu lama,5
Tika Atik,Untuk pelayanan dan fasilitas yang disediakan sudah baik,5
Dwi novi anto,"Pelayanan rsud kajen memuaskan, dari mulai pendaftaran sampai dengan penanganan dokter. Apa lagi  bisa check in melalui mesin anjungan jadi lebih cepat dan efisien... Kedepannya semoga semakin baik lagi",5
arin Uly,untuk pelayanan sudah baik tapi mohon untuk kamar mandi pasien rawat jalan mohon ditingkatkan kebersihannya,5
Fiki Muyasir,Mantap pelayanannya guys,5
Fadil Fadil,Pelayanan dan fasilitas sangat memuaskan....,5
Kahiyang Asmarini,"Rawat inap di rsud kajen ruang mawar untuk pelayanan baik namun ruangan agak panas, pendaftaran mudah gampang apa lagi menggunakan JKN.",5
Estu Pramudita,"pelayanan sudah baik, namun minta tolong untuk mursi roda di bagian rawat jalan mohon ditambah lagi, terima masih",5
Rizqi Ghani,Pelayanan sudah sangat baik dan memuaskan,5
Kaibahan Klairan,Pelayanan sangat sigap,5
yasfien zahra,Sangat memuaskan,5
Kinzaa Kinzaa,"Untuk pelayanan serta fasilitas yang diberikan sangat memuaskan, termasuk bagian administrasi sudah sangat baik",5
Novita Sari,"Opname di ruang mawar untuk pelayanan serta fasilitas sangat memuaskan, terimakasih",5
Kris Manto,"Mohon untuk Pelayanan BPJS di perbaiki lagi
Masak masuk ruang igd  harus nunggu mau mati dulu kan kocak , padahal si pasien udah pucat hedeeehh pelayanan masih kacau",1
Win Cahyadi,"Pelayanan sudah baik, namun untuk kursi roda bisa ditambah lagi di rawat jalan. Terima kasih 🙏 …",5
Iman Teguh Wibowo,memuaskan 👍👍👍 …,5
Khoirunnisah,Pelayanan sudah sangat memuaskan,5
Nur Hikmah Mayasari,Pelayanan baik,5
Ammar Amsyar,Untuk pelayanan baik sekali,5
Jivan Pramana,memuaskan,5
Tatik Indriyati,Sangat memuaskan,5
Anggit,Untuk pelayanan dan fasilitas memuaskan👍👍👍 …,5
yussro abdillah,No review text,5
Stark Industry01,"hati2 di rumah sakit ini,, hanya bisa untuk  mengobati penyakit ringan,tidak beda kualitasnya dengan puskesmas,  untuk penyakit yang tergolong berat mending ke rs bendan atau rs kraton saja, rsud kajen bajingan banyak nyawa melayang di rs kajen",1
Morena Ktrt,"Pelayanan buruk ,
Sama tukang palkir belum 6 jam lebih  di minta lebih",1
Vina Sakinah,sangat memuaskan,5
Ditaa Fadilah,pelayanan sudah sangat baik,5
Ganang Kancil,Untuk pelayanan memuaskan,5
Susi Rismawati,"Pelayanan baik,cuma ruangan rawat inap di ruang teratai B jorok,wastafelnya kotor tidak setiap hari dibersihkan,tong sampah penuh juga pagi ga diambil,diambil udah siang hampir sore",3
Nabila Rachma,"pelayanan di ruangan anak baik..
tp mohon maaf untuk kamar sangat panas dan sempit, malam sangat bangak nyamuk, kipas  tidak berfungsi secara maksimal",5
12MIPA3_ Indit Dwi Pramusti,"pelayanan dan fasilitas baik, memuaskan 👍👍👍 …",5
Hasna Naura,"Memuaskan untuk pelayanan yang diberikan, fasilitasnya juga sangat baik dan modern. Semoga tetep dipertahankan yaaa",5
Fera Diahlestari,Sangat memuaskan selama berobat jalan di rsud kajen,5
Ratna Dismaya,"Rawat jalan di poli orthopedi untuk dokter yang bertugas baik, perawat juga baik dan administrasi cukup sat set",5
Fahri 1705,"Untuk pelayanan dan fasilitas yang disediakan sudah sangat baik, terimakasih",5
Danang Hadi,"Terimakasih, perlayanan sangat baik dan terimakasih buat dokter dan perawat yang sangat ramah",5
Isung,"Senang, kami ucapkan terima kasih",5
Abi Ulwan,"pelayananya bagus,, terimakasih atas pelayanannya...",5
Sandi Pekalongan,"Pelayanan yang ada sangat baik terutama poli saraf dr Sutanto, dan administrasi memuaskan 🫰🫰🫰 …",5
Aly Warsito,Rawat jalan untuk pelayanan sudah baik dan memuaskan,5
Ismatul Budi,Memuaskan,5
Nana Nadin,Pelayanan serta fasilitas yang disediakan sudah sangat baik 👍👍👍👍 …,5
Nur Rochim,Untuk pelayanan sangat memuaskan,5
Dewi Dewi,"Pelayanan diruangan anak susternya baik, ramah
Ruangan panas, banyak nyamuk",5
Khusna aulia safitri,masyaallah tabarakallah sangat puas,5
Ikrimatu Khusnu andhini,sangat baik dan ilmu nya bermanfaat,5
dwi trianingsih,"MasyaAllah tarabarakallah, semoga semakin maju dan semakin lebih baik",5
Nurul Hikma,baik sekali pelayanannya,5
Eri Kholida,No review text,5
Dita Btg,Pelayanan sangat baik,5
Sinta Agustinaa,Baik sekali,5
Nabila Christina,No review text,5
Arum Aryanti,Baik sekali✨,5
Diah Ayu,No review text,5
Wildan Setiawan,Pelayananya bagus,5
Khildan Baihaqi,"pelayanannya bagus,ramah dan puas",5
Izzmi Hanifah,Baik,5
kharisma mandala,"Pelayanan bagus, perawat ramah2",5
bahasa alien,Rumah Sakit terbaik👍👍👍👍 …,5
Diah Ayu purwaningtyas,Pelayanannya baguss,5
Aulicia firda Aulicia,Sangat baik dan keren,5
Dimas Ario,sangat sangat keren!!,5
Dinasalmalia,No review text,5
Iqbal Maulana Jalaludin,Terbaik,5
Ara,Sangat baik untuk pelayanan di RSUD kajen,5
ayu bibits,"Untuk bagian pendaftaran sangat baik pelayanannya satset dan ramah sekali, dokter serta perawat juga sangat ramah. Memuaskan sekali 👍👍👍 …",5
Arnita Sinaga,Pelayanan dan fasilitas sangat memuaskan,5
wahyuono 1103,Rawat inap di ruang mawar alhamdulilah mendapatkan pelayanan yang sangat baik dari petugas,5
Zainur Rokhmah,Untuk pelayanan dan fasilitas yang diberikan sangat baik,5
dwiki hadi,Pendaftaran lumayan cepat dan akses mudah,5
Wahyono,Terimakasih,5
Nur Khumaeroh,"Sekelas NICU tempatnya anak kritis masih banyak perawat yang kebingungan mengoperasikan alat2, kurang tanggap dlm keadaan darurat sekalipun. Sangat mengecewakan",1
purwandi priyo,"bln lalu istri operasi abses dan di rawat selama 5 hari. pelayanannya sangat baik. gedung baru ruang matahari bersih dan nyaman. kamar mandinya jg bersih.
pelayanan saat kontrol pun ramah. pendaftaran cepat, antri obat jg sat set. …",5
Makfur 123,Pelayanan di ruang anak sangat baik,5
Yuqi Talun,Pelayanan baik,5
Azahra Nurazizah,No review text,5
Melda Riski,Terima kasih Alamanda,5
yuli khoerunnisa,Terimakasih,5
Buditomitomi tomi,Pelayanan baik perawatnya sopan2..terimakasih untuk ruang flamboyan,5
reza mahendra,No review text,5
Tadris Bahasa Indonesia Kelas A,merasakan pelayanan dan fasikitas yang baik di rsud kajen,5
Bahtiar Rahman,Selama melakuka rawat jalan pelayanan yang diberikan sangat baik,5
Anang Prasetya,Pelayanan baik,5
Zahra Aulia Ramadhani,No review text,5
Gloria Damayanti,Tempatnya nyaman dan fasilitasnya lengkap banget 👍 pelayanan juga ramah dan amanah 🙏❤ …,5
Dikky Faizal,"Pelayanan kesehatan baik dan optimal, ruangan bersih dan rapi sesuai dengan kemampuan pastinya, kapasitas banyak.
Tidak dibedakan baik umum/bpjs semua di layanin dengan baik. Perawat punya pengalaman yang experts bukan ala kadarnya jadi udh pasti terhindar dr kecerobohan pelayanan ✨",5
caca chacha,No review text,5
Mis Kiyah,Rawat jalan di RSUD kajen pelayanan yang diberikan baik,5
Hani Hanifah,Untuk pelayanan dan fasilitas sangat baik....,5
Iddo Ahmad,Pelayanan bagus ramah sangat membantu sekali,5
Siswo Diantoro,"RUSD KAJEN posisinya tempatnya strategis,,,pelayanannya baik cepat dan ramah petugasnya,,,untuk tempat kebersihanya baik bersih dan nyaman",5
Avia adr,pelayannya cukup baik dan ramah,5
Surakarta 123,Baik,5
Nyla Arum,"Pelayanannya ramah, rumah sakitnya juga bersih. Topp",5
evi sulistya,Pelayanan yang diberikan sangat baik,5
Daniel Adhitya,"Pengalaman berobat di sini cukup baik. Pelayanan secara umum juga memuaskan. Fasilitas bersih dan lengkap. Secara keseluruhan, saya merekomendasikan RSUD Kajen.",5
Ruliy Yati,"Untuk pelayan di gudang anak cukup baik..
hanya saja masih ada petugas yang kurang ramah
ruangan panas",5
Naftalie Ruth Kusumaningtyas,No review text,5
Devaayu Setiani,Alhamdulillah untuk pelayanan dan fasilitas sangat baik,5
Erni Setiawati,Sangat baik untuk pelayanannya,5
Kayla Vilda,Pelayanan yang diberikan di RSUD Kajen sudah baik semoga tetap dipertahankan,5
Tessa Yuli pertiwi,Sangat puas dengan pelayanan yang diberikan,5
KKL DOKUM,Pelayanan keren bangett,5
dew an,Pelayanan yang ada sangat memuaskan,5
KEA collection,"Untuk jadwal kontrol poli dalam.
SOP JAM OPERASIONALNYA sebenarnya jam berapa ya. Jam 08:40 masa belum mulai pemanggilan antrian. Kasihan yang nunggu, meraka orang2 sakit berangkat lebih awal agar cepat selesai. Tapi malah menunggu lebih kama",3
Luthfie Yani,Baik untuk pelayanan rawat jalan,5
wenty hidayatillah,sudah sangat baik pelayanannya,5
Setya Sukmo,Pelayanan dan fasilitas sudah sangat baik,5
Redy Faozan,Pelayanan dan fasilitas rsud sudah baik dan membantu,5
Bagus 182,"Pelayanan baik, proses mudah tinggal tunggu, dokter ramah, semoga sehat selalu yang sehat yang sakit segera lekas sembuh",5
Midin uq,"Fasilitas bagus, pelayanan bagus, dokter yang menanngani baik juga sigap",5
zahra thalia,Pelayanan baik,5
purwaningsih naila,Pelayanan dan fasilitas sudah sangat baik,5
dicky cdz,"Pelayanan baik, pegawai nya ramah ruangan bersih mantap betul",5
Ervita Surya,"Untuk pelayanan dan fasilitas  yang ada sangat bagus, terutama gedung baru sangat nyaman",5
Uswatun Chasanah,"Pelayanan baik,
Terima kasih sudah memberikan pelayanan dengan baik",5
DINDA ESTUNIKA 9E,Pelayanan di ruang anak sangat baik,5
Bapak Gameing,Pelayanan dan fasilitas di RSUD sangat bagus terutama fasilitas di gedung baru top,5
Cici Hamida,Bapak rawat inap di ruang mawar untuk penanganan serta fasilitas sudah semakin baik semoga tetep dipertahankan,5
Sofinatul Jiat,"Pelayanan dan fasilitas sangat baik, ramah dan sopan. Mohon untuk maa mas parkir untuk membantu mengeluarkan motor heheh",5
Iwan indra purnama,Pelayanan rawat jalan rsud kajen sudah sangat baik...tertata dan fasilitas sangat baik semoga selalu dipertahankan,5
Alfandi Hafiz,"Sejauh ini selama setahun melakukan rawat jalan pelayanan dan fasilitas sudah bagus l, sedikit masukan untuk apotik lebih ditingkatkan lagi",5
Kunak Iroh,Pelayanan dan fasilitas bagus dan memuaskan...,5
Rendy Agus,terimakasih pelayananya bagus...fasilitas gedung baru lantai3 bagus,5
yulia farida official,"Untuk ruangan tunggu pasien kurang nyaman di tambah para lansia kebanyakan tidak duduk mungkin karana tempat duduknya kurang,kebersihanpun kurang terjaga semoga kedepannya bisa lebih baik lagi",2
wiwik ikarini,"Melakukan rawat jalan di RSUD kajen  ruang poli yang ada sangat bagus fasilitasnya, dokternya baik, perawat juga administrasi sangat cekatan",5
Windi Susanti,No review text,5
Dini Indriyani,Rawat inap di ruang flamboyan perawat yang bertugas satset cekatan dan ramah ramah,5
didin budiman,Pelayanan dan fasilitas sangat baik... petugas melayani dengan ramah.... halaman parkir luas gedungnya bagus terutama gedung baru,5
Gita Tri Ayuni,"Gedung baru nya juga nyaman pelayanan  bagus, semoga tetap bisa menjaga kualitas dan pertahankan untuk pelayanannya
Sukses selalu RSUD Kajen",5
Siti Ningrum,"9/10 Pernah di opnam di sini walaupun di rawat di bangsal karena kamar penuh tapi pelayanannya tetap bagus, tidak membeda2kan pasien..
Semoga pelayanannya tetap seperti ini yaa, sukses terus untuk rsud kajen 🥰 …",5
Zain Yusuf,"Pelayanan di bangsal anak sangat baik, susternya ramah..
Hanya kondisi ruangan saja yg perlu diperbaiki, Karena sempit untuk bangsal kelas 3 nya",5
Komar Udin,Ruang Flamboyan pelayanan baik..tapi ruangan panas kalo bisa pasang AC,5
Ari Nurhidayat,"Pelayanan sigap,baik, pegawainya sangat-sangat ramah sekali",5
khikmatun khasanah,No review text,5
Dino Lukman prayoga,No review text,5
Yulita Saputri,No review text,5
Ajeng Kinanti,Pelayanan di RSUD Kajen sangat baik,5
Ira Puspita,"pelayanan RSUD KAJEN sangat baik,ramah,tepat,dan cepat",5
Dini Alviani Sakinah,Pelayanannya cepat dan ramah❤️,5
ftr hnfh 1127,RSUD Kajen pelayanannya sangat cepat dan perawatnya sangat ramah ramah,5
Valeska Cinta Zahiya Ali,"Pelayananya sangat memuaskan, cepat dan ramah❤",5
Dio Saputra,"Sangat baik dan pelayanan sangat ramah, recommend",5
hasna kajen2024,No review text,5
Aimun Nafis,No review text,5
Maudy Wulan Pangestu,No review text,5
Faiza Qonita,No review text,5
Rani Amalia Fitri,Ramah banget perawatnya pelayanan oke,5
Nafik Yuliandika,Pelayanan baik,5
Salila Salikha Nisa,"Pelayanan di RSUD KAJEN sangat baik, cepat dan ramah",5
"Edi Setiyawan, S.E.","Pelayanan kurang sat set , sudah dapat kamar vip pake umum,sudah hampir 2 jam tapi masih di IGD",3
turipa jetkid,Sangat puas...,5
Amanda Wulansari,Pelàyanan baik dan fasilitasnya juga baik,5
Mas Kholik,"Rawat jalan di rsud kajen untuk pelayanan dan fasilitas teritama gedu g baru sangat bagus.... pegawai, perawat, juga dokter ramah",5
PPS Pododadi2024,"Priksa di poli mata, sangat cekatan petugasnya perawat dan dokter juga ramah",5
Azam Fathur,"Selesai rawat inap di ruang kenang,,, palayanan dan fasilitas baik,,,nakes juga petugas sangat ramah satset",5
Diva Aulia,Pelayanan ramah dan memuaskan serta dilengkapi dengan fasilitas yang memadai sehingga memberikan kenyamanan bagi pasien maupun keluarga pasien,5
Dinda Faurizah Hidayat,"Staf medis dan non-medis yang ramah, responsif, dan profesional, Ruang rawat yang bersih, nyaman, dan dilengkapi fasilitas yang memadai.",5
Desliana Faisya,"Pengalaman saya di RSUD Kajen, pelayanannya cepat, dan nakesnya juga responsif terhadap keluhan pasien.. pokoknya top sekali👍 …",5
Fia Vania Herlistya,Pelayanan di poli sangat cepat ramah,5
Desyysari,"Pelayanan yang diberikan saat periksa dipoli umum sangat baik, petugas ramah",5
Mochammad Faisal Akbar,"Pelayanan dan fasilitasnya cukup baik, nakes nya disini ramah dan satset",5
Sri Widyowati,"Pengalaman saya beberapa hari lalu baru selesai melakukan lahiran di RSUD kajen,,,, dirawat inap di ruang melati perawatan baik pelayanan dan lainnya sangat bagus dan baik,,,, kedepannya semoga semakin lebih baik lagi",5
Mas Bow,"Pelayanan sangat buruk dan sangat meremehkan nyawa manusia, dari jam 11 malam nunggu di pindah dari ruang mawar ke ICU sampai jam 2 malem tidak ada tindakan , dan akhir nya bapak saya meninggal dunia.",1
Maulana Putri,Pelayanan dan fasilitas sangat baik,5
Mamake Bapake Family,"sering bolak balik rawat inap di flamboyan,,, selama ini pelayanan yang diberikan sangat baik...",5
Reva Fidela,"Sodara pernah di rawat inap di ruangan anggrek, pelayanan dan fasilitas sangat baik. Selu diberi arahan yang jelas oleh perawat dan pegawai lainnya...",5
Adinda rere,Untuk pelayanan sangat baik dan petugas juga sangat ramah,5
Kasturah,"Petugas yg melayani sangat baik dang mengarahkan, fasilitas yang ada juga sangat bagus terutama gedung baru",5
novi chrisia,"Penanganan rawat jalana sangat baik, petugas administrasi yang bertugas sat set dan tanggap,,,, dokter serta perawat juga bain",5
Umul 2022,"untuk fasilitas cukup baik, namun untuk prnmabhaan petugas bisa ditambah lagi agar antri tidka terlalu banyak terutama pengambilan obat",5
Leli Latif,"Untuk pelayaman dn fasilitas baik, ceat dan tanggap",5
Rahma Triastuti,pelayanannya bagus,5
Diyah Purnamasari,"Pelayanan sangat memuaskan, dokter dan perawat sangat ramah. Fasilitas memadai",5
Thalia Violitha,Pelayanannya baik 👍 …,5
Ahmad Yulianto,Pelayanan baik ramah ..antrian juga cukup jalan baik,5
Alya Ramadhani,"Anak sya menjalani pengobatan 6 bln ,, untung pnanganan cukup bagus cuma ngantrinya lama ,,",5
Chintia Anggraini,"Sya mlakukan rawat jalan di RSUD Kajen sudah beberapa kali, selama ini mendapatkan perawatan yang baik dari dokter, perawat juga ptgs lain",5
Ayu Romans,Priksa di poli penyakit dalam untuk pelayanan dan fasilitas sangat baik sekali .. termasuk bagian administrasi,5
Taryuti Uti,keluarga sya pernah di rawat di ruangan Alamanda lt 3 gedung baru ...alhamdulilah pelayan baik dan perawat nya jga ramah2,5
Refan Fernanta,Pelayanan baik dan sopan,5
Yanz,"Alur pendaftaran dan pelayanan yang diberikan sangat baik sekali, terimakasih",5
Lintang Infinix,"Pelayanan dan fasilitas yang diberikan baik sekali, terima kasih",5
arga arman,"Priksa di poli THT pelayanan dari dokter dan perawat sangat baik, tenaga administrasi ya bertugas juga sangat cekatan",5
Robi Robi,"Fasilitas dan pelayanan baik dokter, perawat dan administrasi sangat bagus. Apa lagi tempat parkir dan gedung baru",5
Alvilia Kevin,Melakukan terapi anak di RSUD kajen pelayanan dan perawatan yang diberikan sangat baik,5
Saryono Yono,"Ibu saya pernah rawat inap di ruang Seroja, mendapatkan perawatan dan pelayanan yang baik dari perawat dan petugas lain. Terima kasih",5
Rochami Ami,"Pelayanan sangat baik, dokter dan perawat sangat ramah",5
Na Fa,"Trimakasih bnyak, pelayanan sangat memuaskan, ruangannya sangat nyaman,dan perawatnya ramah2 dan baik,is the best",5
Doni Saputra,"Nenek saya dirawat inap alhamdulilah sudah bisa pulang, untuk pelayanan dan fasilitas baik",5
Zuliani Zuli,Pernah di rawat di ruang mawar untuk fasilitas dan pelayanan sangat memuaskan. Terima kasih,5
Kusdi Rudatin,"Pernah di rawat inap di rsud kajen,,, sekarang sudah bisa pulang dan fasilitas juga pelayanan sangat memuaskan",5
Fendy Cobaint,"Bapak saya melakukan rawat jalan di poli saraf alhamdulillah mendapatkan pelayanan yang baik dari dokter dan perawat, tenaga admin yang bertugas juga cekatan",5
iqhbal helem,"Pelayanan diruang anak sangat baik, dari awal masuk sampe oprasi sangat baik dlm melayani",5
Mutiara Alifiani,"Petugas nya ramah, dokter nya juga ramah, gedung baru nya bagus",5
Julaikha Nur Utami,"baru selesai dirawat di rsud kajen ini, alhamdulillah pelayanan dan fasilitas yang diberikan sangat baik",5
