content,text_tokens_stemmed,Label,Label NB
"Kesan pertama masuk ke RSUD Kajen sangat baik. Tenaga kesehatan sangat ramah, pelayanan yang diberikan sangat baik.",kesan masuk rsud kajen tenaga sehat ramah layan,positif,positif
No review text,no review text,positif,positif
"Pelayanan baik, ramah, gedung bersih dan nyaman",layan ramah gedung bersih nyaman,positif,positif
Kesan pertama di rsud kajen orientasinya berjalan sangat baik dan berjalan dengan lancar,kesan rsud kajen orientasi jalan jalan lancar,positif,positif
"pelayanan baik, ramah, gedung bersih dan nyaman",layan ramah gedung bersih nyaman,positif,positif
pelayanannya sangat ramah,layan ramah,positif,positif
"Rumah sakitnya bagus sangat rekomen untuk berobat di rsud kajen, perawat ramah dan cantik2 dan untuk pelayanannya sangat memuaskan😍👍🏼 …",rumah sakit bagus rekomen obat rsud kajen awat ramah cantik2 layan muas,positif,positif
"Rumah sakitnya bagus, sangat rekomen perawatnya ramah pelayanan sangat memuaskan",rumah sakit bagus rekomen awat ramah layan muas,positif,positif
No review text,no review text,positif,positif
"rumah sakitnya bagus, enak nyaman, perawatnya ramah ramah, saya sebagai mahasiswa betah praktik disini karna pelayanannya yang sangat memuaskan",rumah sakit bagus enak nyaman awat ramah ramah mahasiswa betah praktik karna layan muas,positif,positif
Pelayanannya sangat memuaskan,layan muas,positif,positif
"rumah sakitnya bagus, perawatnya ramah",rumah sakit bagus awat ramah,positif,positif
No review text,no review text,positif,positif
No review text,no review text,positif,positif
No review text,no review text,positif,positif
No review text,no review text,positif,positif
No review text,no review text,positif,positif
No review text,no review text,positif,positif
"Berobat jalan di rsud kajen sejauh ini sangat baik dan membantu sekali, terima kasih",obat jalan rsud kajen bantu terima kasih,positif,positif
Memuaskan sekali ramah ramah dan satse,muas ramah ramah satse,positif,positif
Pelayanan sangat memuaskan 👍👍👍 …,layan muas,positif,positif
"Ini bintang 1 jg kebagusan si. Kl bs gk usah ad bintang. Sy ad alesan knp rs ini gak worth!!
1. Sy prnah kecelakaan yg menyebabkan luka sobek dibagian kaki, dithn 2020. Trs …",bintang 1 jg bagus si kl bs gk ad bintang sy ad alesan knp rs gak worth1 sy prnah celaka yg sebab luka sobek bagi kaki dithn 2020 trs,negatif,negatif
No review text,no review text,positif,positif
Alhamdulillah mendapatkan pelayanan yang baik sekali,alhamdulillah layan,positif,positif
"Perawatan dan pelayanan memuaskan, pegawai ramah2",awat layan muas pegawai ramah2,positif,positif
"Memuaskan, semoga tetap dipertahankan agar lebih baik lagi",muas moga tahan,positif,positif
Pelayanan serta fasilitas yang diberikan sangat baik dan nyaman,layan fasilitas nyaman,positif,positif
"Pelayanan di RSUD Kajen memuaskan sekali. Mulai dari administrasi, perawat dan dokter sangat ramah dan membantu. Terima kasih",layan rsud kajen muas administrasi awat dokter ramah bantu terima kasih,positif,positif
Terimakasih,terimakasih,positif,positif
"Trimakasih telah merawat bapak saya , dan trimakasih dengan pelayanan yg ramah. Semoga bisa lebih baik lagi.",trimakasih rawat trimakasih layan yg ramah moga,positif,positif
"Pelayanan lama, kalau memang ada jadwal op bisa konfirmasikan dulu jelasnya ke pasien"" lain, atau tambah personil dokternya sekalian. Jadwal kontrol harus rutin 1 minggu sekali tapi pelayanan lama buat apa? Bukanya membaik malah makin drop pasiennya. Cari solusi jangan cuma baca + reply jawaban saja.",layan jadwal op konfirmasi pasien personil dokter jadwal kontrol rutin 1 minggu layan buka baik drop pasien cari solusi baca reply,negatif,negatif
"sumpah lamaaaa bangett udh daftar online udah,malah dokternya yg datengnya sianggg bangettt.",sumpah lamaaaa bangett udh daftar online udahmalah dokter yg datengnya sianggg bangettt,positif,positif
"PELAYANAN BURUK ADE SAYA KEJANG2 GAK DIDAHULUKAN DAHULU, AKHIRNYA TIDAK JADI KESITU PALING BURUK PELAYANANNYA BINTANG 0😡😡😡😡😡😡😡😡😡😡😡😡😡😡😡😡😡😡😡😡😡😡😡😡😡😡😡😡😡😡 …",layan buruk ade kejang2 gak dahulu kesitu buruk layan bintang 0,negatif,negatif
Umum,,positif,positif
"Pelayanan baik,cepat,memuaskan",layan baikcepatmemuaskan,positif,positif
"ruangan nya nyaman, perawatnyarama² juga",ruang nya nyaman perawatnyarama,positif,positif
"Terimakasih pak satpam yg sudah membantu dan pelayanan untuk poli ramah""",terimakasih satpam yg bantu layan pol ramah,positif,positif
"Bagus dan siaga 24 jam,,Terimakasih Banyak atas pelayanannya buat anak kami,,
ruang Anak Flamboyan",bagus siaga 24 jamterimakasih layan anak kamiruang anak flamboyan,positif,positif
"pelyanan serta fasilitas yang ada di RSUD kajen cukup baik, administrasi pendaftaran juga ramah ramah dan mengarahka, membantu pasien sekali",pelyanan fasilitas rsud kajen administrasi daftar ramah ramah mengarahka bantu pasien,positif,positif
"Untuk fasilitas sudah baik, namun untuk ruang tunggu bisa diperluas lagi. Terima kasih",fasilitas ruang tunggu luas terima kasih,positif,positif
Pelayanan dan fasilitas yang diberikan memuaskan,layan fasilitas muas,positif,positif
Alhamdulilah pelayanan memuaskan dan trimakasih kepada petugas medis RSUD Kajen,alhamdulilah layan muas trimakasih tugas medis rsud kajen,positif,positif
"Pelayanan serta fasilitas yang diberikan sngt baik serta memuaskan, petugas sagat mangarahkan dan membantu",layan fasilitas sngt muas tugas sagat mangarahkan bantu,positif,positif
"Pelayanan sangat memuaskan dan mengarahkan sekali ke pasien yang baru pertama datang, membantu",layan muas arah pasien bantu,positif,positif
No review text,no review text,negatif,positif
Pelayanan prima,layan prima,positif,positif
Saya msuk ambil kmr viv tp kaya orang g bayar..,msuk ambil kmr viv tp kaya orang g bayar,negatif,negatif
Playanan yang diberikan sangat baik,playanan,positif,positif
"Pelayanan di rsud kajen sangat memuaskan apa lagi sekarang ini fasilitas yang diberikan sangat memudahkan pasien, tempat tunggu nyaman, petugas yang melayani satset... Kedepannya semoga semakin dipertahankan dan ditingkatkan agar lebih baik 👍👍 …",layan rsud kajen muas fasilitas mudah pasien tunggu nyaman tugas layan satset depan moga tahan tingkat,positif,positif
Terima kasih rsud kajen,terima kasih rsud kajen,positif,positif
"Terima kasih RSUD Kajen, kuli Ten ruang Wijaya Kusuma",terima kasih rsud kajen kuli ten ruang wijaya kusuma,positif,positif
No review text,no review text,positif,positif
"pelayanan sangat bagus, perawat ramah",layan bagus awat ramah,positif,positif
banyak petugas magang kah?,tugas magang kah,negatif,positif
Terimakasih atas pelayanan Alamanda,terimakasih layan alamanda,positif,positif
Baru pertama kali disini,kali,positif,positif
No review text,no review text,positif,positif
No review text,no review text,positif,positif
No review text,no review text,positif,positif
No review text,no review text,positif,positif
Baru pertama kali praktek,kali praktek,positif,positif
baru pertama kali praktek disini,kali praktek,positif,positif
oke,oke,positif,positif
"Baru pertama kali di pratek klinik di RS Kajen tempat nya luas dan bersih orangnya ramah""",kali pratek klinik rs kajen nya luas bersih orang ramah,positif,positif
Baru pertama kali Praktik di RSUD Kajen,kali praktik rsud kajen,positif,positif
No review text,no review text,positif,positif
No review text,no review text,positif,positif
"Rumh sakitnya bersih, nyaman, pegawai nya ramah. Good joob pokoknya :)",rumh sakit bersih nyaman pegawai nya ramah good joob pokok,positif,positif
tempat yang nyaman dan sejuk karena berada didekat gunung.,nyaman sejuk dekat gunung,positif,positif
Wah sangat menyenangkan sekali bisa magang d RSUD Kajen🥰🥰 …,senang magang d rsud kajen,positif,positif
"RSUD kajen pekalongan tempatnya sangat bersih, pelayanan nya sangat baik",rsud kajen kalong tempat bersih layan nya,positif,positif
Bagus,bagus,positif,positif
Sgt nyaman,sgt nyaman,positif,positif
Bagus👍🏻 …,bagus,positif,positif
bagusss,bagusss,positif,positif
No review text,no review text,positif,positif
Dimainkan dengan baik,main,positif,positif
pelayanan bagus dan terjamin kualitasnya🙏 …,layan bagus jamin kualitas,positif,positif
mantap min,mantap min,positif,positif
Pelayanannya cukup cepat dan ramah,layan cepat ramah,positif,positif
Bagus,bagus,positif,positif
mantapp min,mantapp min,positif,positif
Parkirannya luas,parkir luas,positif,positif
No review text,no review text,positif,positif
No review text,no review text,positif,positif
Rumah sakitnya keren🧡🧡🧡 …,rumah sakit keren,positif,positif
Pelayanannya cepat dan ramah,layan cepat ramah,positif,positif
mantap,mantap,positif,positif
Memuaskan sekali pelayanan yang diberikan di rsud kajen,muas layan rsud kajen,positif,positif
Alhamduliah pelayanan di rsud kajen sangat memuaskan dan satset tidak perlu menunggu lama,alhamduliah layan rsud kajen muas satset tunggu,positif,positif
Untuk pelayanan dan fasilitas yang disediakan sudah baik,layan fasilitas sedia,positif,positif
"Pelayanan rsud kajen memuaskan, dari mulai pendaftaran sampai dengan penanganan dokter. Apa lagi  bisa check in melalui mesin anjungan jadi lebih cepat dan efisien... Kedepannya semoga semakin baik lagi",layan rsud kajen muas daftar tangan dokter check in mesin anjung cepat efisien depan moga,positif,positif
untuk pelayanan sudah baik tapi mohon untuk kamar mandi pasien rawat jalan mohon ditingkatkan kebersihannya,layan mohon kamar mandi pasien rawat jalan mohon tingkat bersih,positif,positif
Mantap pelayanannya guys,mantap layan guys,positif,positif
Pelayanan dan fasilitas sangat memuaskan....,layan fasilitas muas,positif,positif
"Rawat inap di rsud kajen ruang mawar untuk pelayanan baik namun ruangan agak panas, pendaftaran mudah gampang apa lagi menggunakan JKN.",rawat inap rsud kajen ruang mawar layan ruang panas daftar mudah gampang jkn,positif,positif
"pelayanan sudah baik, namun minta tolong untuk mursi roda di bagian rawat jalan mohon ditambah lagi, terima masih",layan tolong mursi roda rawat jalan mohon tambah terima,positif,positif
Pelayanan sudah sangat baik dan memuaskan,layan muas,positif,positif
Pelayanan sangat sigap,layan sigap,positif,positif
Sangat memuaskan,muas,positif,positif
"Untuk pelayanan serta fasilitas yang diberikan sangat memuaskan, termasuk bagian administrasi sudah sangat baik",layan fasilitas muas administrasi,positif,positif
"Opname di ruang mawar untuk pelayanan serta fasilitas sangat memuaskan, terimakasih",opname ruang mawar layan fasilitas muas terimakasih,positif,positif
"Mohon untuk Pelayanan BPJS di perbaiki lagi
Masak masuk ruang igd  harus nunggu mau mati dulu kan kocak , padahal si pasien udah pucat hedeeehh pelayanan masih kacau",mohon layan bpjs baik lagimasak masuk ruang igd nunggu mati kocak si pasien udah pucat hedeeehh layan kacau,negatif,negatif
"Pelayanan sudah baik, namun untuk kursi roda bisa ditambah lagi di rawat jalan. Terima kasih 🙏 …",layan kursi roda tambah rawat jalan terima kasih,positif,positif
memuaskan 👍👍👍 …,muas,positif,positif
Pelayanan sudah sangat memuaskan,layan muas,positif,positif
Pelayanan baik,layan,positif,positif
Untuk pelayanan baik sekali,layan,positif,positif
memuaskan,muas,positif,positif
Sangat memuaskan,muas,positif,positif
Untuk pelayanan dan fasilitas memuaskan👍👍👍 …,layan fasilitas muas,positif,positif
No review text,no review text,positif,positif
"hati2 di rumah sakit ini,, hanya bisa untuk  mengobati penyakit ringan,tidak beda kualitasnya dengan puskesmas,  untuk penyakit yang tergolong berat mending ke rs bendan atau rs kraton saja, rsud kajen bajingan banyak nyawa melayang di rs kajen",hati2 rumah sakit obat sakit ringantidak beda kualitas puskesmas sakit golong berat mending rs bendan rs kraton rsud kajen bajing nyawa layang rs kajen,negatif,positif
"Pelayanan buruk ,
Sama tukang palkir belum 6 jam lebih  di minta lebih",layan buruk tukang palkir 6 jam,negatif,negatif
sangat memuaskan,muas,positif,positif
pelayanan sudah sangat baik,layan,positif,positif
Untuk pelayanan memuaskan,layan muas,positif,positif
"pelayanan di ruangan anak baik..
tp mohon maaf untuk kamar sangat panas dan sempit, malam sangat bangak nyamuk, kipas  tidak berfungsi secara maksimal",layan ruang anak baiktp mohon maaf kamar panas sempit malam bangak nyamuk kipas fungsi maksimal,positif,positif
"pelayanan dan fasilitas baik, memuaskan 👍👍👍 …",layan fasilitas muas,positif,positif
"Memuaskan untuk pelayanan yang diberikan, fasilitasnya juga sangat baik dan modern. Semoga tetep dipertahankan yaaa",muas layan fasilitas modern moga tetep tahan yaaa,positif,positif
Sangat memuaskan selama berobat jalan di rsud kajen,muas obat jalan rsud kajen,positif,positif
"Rawat jalan di poli orthopedi untuk dokter yang bertugas baik, perawat juga baik dan administrasi cukup sat set",rawat jalan pol orthopedi dokter tugas awat administrasi sat set,positif,positif
"Untuk pelayanan dan fasilitas yang disediakan sudah sangat baik, terimakasih",layan fasilitas sedia terimakasih,positif,positif
"Terimakasih, perlayanan sangat baik dan terimakasih buat dokter dan perawat yang sangat ramah",terimakasih layan terimakasih dokter awat ramah,positif,positif
"Senang, kami ucapkan terima kasih",senang ucap terima kasih,positif,positif
"pelayananya bagus,, terimakasih atas pelayanannya...",pelayananya bagus terimakasih layan,positif,positif
"Pelayanan yang ada sangat baik terutama poli saraf dr Sutanto, dan administrasi memuaskan 🫰🫰🫰 …",layan pol saraf dr sutanto administrasi muas,positif,positif
Rawat jalan untuk pelayanan sudah baik dan memuaskan,rawat jalan layan muas,positif,positif
Memuaskan,muas,positif,positif
Pelayanan serta fasilitas yang disediakan sudah sangat baik 👍👍👍👍 …,layan fasilitas sedia,positif,positif
Untuk pelayanan sangat memuaskan,layan muas,positif,positif
"Pelayanan diruangan anak susternya baik, ramah
Ruangan panas, banyak nyamuk",layan ruang anak suster ramahruangan panas nyamuk,positif,positif
masyaallah tabarakallah sangat puas,masyaallah tabarakallah puas,positif,positif
sangat baik dan ilmu nya bermanfaat,ilmu nya manfaat,positif,positif
"MasyaAllah tarabarakallah, semoga semakin maju dan semakin lebih baik",masyaallah tarabarakallah moga maju,positif,positif
baik sekali pelayanannya,layan,positif,positif
No review text,no review text,positif,positif
Pelayanan sangat baik,layan,positif,positif
Baik sekali,,positif,positif
No review text,no review text,positif,positif
Baik sekali✨,,positif,positif
No review text,no review text,positif,positif
Pelayananya bagus,pelayananya bagus,positif,positif
"pelayanannya bagus,ramah dan puas",layan bagusramah puas,positif,positif
Baik,,positif,positif
"Pelayanan bagus, perawat ramah2",layan bagus awat ramah2,positif,positif
Rumah Sakit terbaik👍👍👍👍 …,rumah sakit baik,positif,positif
Pelayanannya baguss,layan baguss,positif,positif
Sangat baik dan keren,keren,positif,positif
sangat sangat keren!!,keren,positif,positif
No review text,no review text,positif,positif
Terbaik,baik,positif,positif
Sangat baik untuk pelayanan di RSUD kajen,layan rsud kajen,positif,positif
"Untuk bagian pendaftaran sangat baik pelayanannya satset dan ramah sekali, dokter serta perawat juga sangat ramah. Memuaskan sekali 👍👍👍 …",daftar layan satset ramah dokter awat ramah muas,positif,positif
Pelayanan dan fasilitas sangat memuaskan,layan fasilitas muas,positif,positif
Rawat inap di ruang mawar alhamdulilah mendapatkan pelayanan yang sangat baik dari petugas,rawat inap ruang mawar alhamdulilah layan tugas,positif,positif
Untuk pelayanan dan fasilitas yang diberikan sangat baik,layan fasilitas,positif,positif
Pendaftaran lumayan cepat dan akses mudah,daftar lumayan cepat akses mudah,positif,positif
Terimakasih,terimakasih,positif,positif
"Sekelas NICU tempatnya anak kritis masih banyak perawat yang kebingungan mengoperasikan alat2, kurang tanggap dlm keadaan darurat sekalipun. Sangat mengecewakan",kelas nicu tempat anak kritis awat bingung operasi alat2 tanggap dlm darurat kecewa,negatif,positif
"bln lalu istri operasi abses dan di rawat selama 5 hari. pelayanannya sangat baik. gedung baru ruang matahari bersih dan nyaman. kamar mandinya jg bersih.
pelayanan saat kontrol pun ramah. pendaftaran cepat, antri obat jg sat set. …",bln istri operasi abses rawat 5 layan gedung ruang matahari bersih nyaman kamar mandi jg bersihpelayanan kontrol ramah daftar cepat antri obat jg sat set,positif,positif
Pelayanan di ruang anak sangat baik,layan ruang anak,positif,positif
Pelayanan baik,layan,positif,positif
No review text,no review text,positif,positif
Terima kasih Alamanda,terima kasih alamanda,positif,positif
Terimakasih,terimakasih,positif,positif
Pelayanan baik perawatnya sopan2..terimakasih untuk ruang flamboyan,layan awat sopan2terimakasih ruang flamboyan,positif,positif
No review text,no review text,positif,positif
merasakan pelayanan dan fasikitas yang baik di rsud kajen,rasa layan fasikitas rsud kajen,positif,positif
Selama melakuka rawat jalan pelayanan yang diberikan sangat baik,melakuka rawat jalan layan,positif,positif
Pelayanan baik,layan,positif,positif
No review text,no review text,positif,positif
Tempatnya nyaman dan fasilitasnya lengkap banget 👍 pelayanan juga ramah dan amanah 🙏❤ …,tempat nyaman fasilitas lengkap banget layan ramah amanah,positif,positif
"Pelayanan kesehatan baik dan optimal, ruangan bersih dan rapi sesuai dengan kemampuan pastinya, kapasitas banyak.
Tidak dibedakan baik umum/bpjs semua di layanin dengan baik. Perawat punya pengalaman yang experts bukan ala kadarnya jadi udh pasti terhindar dr kecerobohan pelayanan ✨",layan sehat optimal ruang bersih rapi sesuai mampu pasti kapasitas banyaktidak beda umumbpjs layanin awat alam experts ala kadar udh hindar dr ceroboh layan,positif,positif
No review text,no review text,positif,positif
Rawat jalan di RSUD kajen pelayanan yang diberikan baik,rawat jalan rsud kajen layan,positif,positif
Untuk pelayanan dan fasilitas sangat baik....,layan fasilitas,positif,positif
Pelayanan bagus ramah sangat membantu sekali,layan bagus ramah bantu,positif,positif
"RUSD KAJEN posisinya tempatnya strategis,,,pelayanannya baik cepat dan ramah petugasnya,,,untuk tempat kebersihanya baik bersih dan nyaman",rusd kajen posisi tempat strategispelayanannya cepat ramah petugasnyauntuk kebersihanya bersih nyaman,positif,positif
pelayannya cukup baik dan ramah,layan ramah,positif,positif
Baik,,positif,positif
"Pelayanannya ramah, rumah sakitnya juga bersih. Topp",layan ramah rumah sakit bersih topp,positif,positif
Pelayanan yang diberikan sangat baik,layan,positif,positif
"Pengalaman berobat di sini cukup baik. Pelayanan secara umum juga memuaskan. Fasilitas bersih dan lengkap. Secara keseluruhan, saya merekomendasikan RSUD Kajen.",alam obat layan muas fasilitas bersih lengkap rekomendasi rsud kajen,positif,positif
"Untuk pelayan di gudang anak cukup baik..
hanya saja masih ada petugas yang kurang ramah
ruangan panas",layan gudang anak baikhanya tugas ramahruangan panas,positif,positif
No review text,no review text,positif,positif
Alhamdulillah untuk pelayanan dan fasilitas sangat baik,alhamdulillah layan fasilitas,positif,positif
Sangat baik untuk pelayanannya,layan,positif,positif
Pelayanan yang diberikan di RSUD Kajen sudah baik semoga tetap dipertahankan,layan rsud kajen moga tahan,positif,positif
Sangat puas dengan pelayanan yang diberikan,puas layan,positif,positif
Pelayanan keren bangett,layan keren bangett,positif,positif
Pelayanan yang ada sangat memuaskan,layan muas,positif,positif
Baik untuk pelayanan rawat jalan,layan rawat jalan,positif,positif
sudah sangat baik pelayanannya,layan,positif,positif
Pelayanan dan fasilitas sudah sangat baik,layan fasilitas,positif,positif
Pelayanan dan fasilitas rsud sudah baik dan membantu,layan fasilitas rsud bantu,positif,positif
"Pelayanan baik, proses mudah tinggal tunggu, dokter ramah, semoga sehat selalu yang sehat yang sakit segera lekas sembuh",layan proses mudah tinggal tunggu dokter ramah moga sehat sehat sakit lekas sembuh,positif,positif
"Fasilitas bagus, pelayanan bagus, dokter yang menanngani baik juga sigap",fasilitas bagus layan bagus dokter menanngani sigap,positif,positif
Pelayanan baik,layan,positif,positif
Pelayanan dan fasilitas sudah sangat baik,layan fasilitas,positif,positif
"Pelayanan baik, pegawai nya ramah ruangan bersih mantap betul",layan pegawai nya ramah ruang bersih mantap,positif,positif
"Untuk pelayanan dan fasilitas  yang ada sangat bagus, terutama gedung baru sangat nyaman",layan fasilitas bagus gedung nyaman,positif,positif
"Pelayanan baik,
Terima kasih sudah memberikan pelayanan dengan baik",layan baikterima kasih layan,positif,positif
Pelayanan di ruang anak sangat baik,layan ruang anak,positif,positif
Pelayanan dan fasilitas di RSUD sangat bagus terutama fasilitas di gedung baru top,layan fasilitas rsud bagus fasilitas gedung top,positif,positif
Bapak rawat inap di ruang mawar untuk penanganan serta fasilitas sudah semakin baik semoga tetep dipertahankan,rawat inap ruang mawar tangan fasilitas moga tetep tahan,positif,positif
"Pelayanan dan fasilitas sangat baik, ramah dan sopan. Mohon untuk maa mas parkir untuk membantu mengeluarkan motor heheh",layan fasilitas ramah sopan mohon maa mas parkir bantu keluar motor heheh,positif,positif
Pelayanan rawat jalan rsud kajen sudah sangat baik...tertata dan fasilitas sangat baik semoga selalu dipertahankan,layan rawat jalan rsud kajen baiktertata fasilitas moga tahan,positif,positif
"Sejauh ini selama setahun melakukan rawat jalan pelayanan dan fasilitas sudah bagus l, sedikit masukan untuk apotik lebih ditingkatkan lagi",tahun rawat jalan layan fasilitas bagus l masuk apotik tingkat,positif,positif
Pelayanan dan fasilitas bagus dan memuaskan...,layan fasilitas bagus muas,positif,positif
terimakasih pelayananya bagus...fasilitas gedung baru lantai3 bagus,terimakasih pelayananya bagusfasilitas gedung lantai3 bagus,positif,positif
"Untuk ruangan tunggu pasien kurang nyaman di tambah para lansia kebanyakan tidak duduk mungkin karana tempat duduknya kurang,kebersihanpun kurang terjaga semoga kedepannya bisa lebih baik lagi",ruang tunggu pasien nyaman lansia banyak duduk karana duduk kurangkebersihanpun jaga moga depan,negatif,positif
"Melakukan rawat jalan di RSUD kajen  ruang poli yang ada sangat bagus fasilitasnya, dokternya baik, perawat juga administrasi sangat cekatan",rawat jalan rsud kajen ruang pol bagus fasilitas dokter awat administrasi cekat,positif,positif
No review text,no review text,positif,positif
Rawat inap di ruang flamboyan perawat yang bertugas satset cekatan dan ramah ramah,rawat inap ruang flamboyan awat tugas satset cekat ramah ramah,positif,positif
Pelayanan dan fasilitas sangat baik... petugas melayani dengan ramah.... halaman parkir luas gedungnya bagus terutama gedung baru,layan fasilitas tugas layan ramah halaman parkir luas gedung bagus gedung,positif,positif
"Gedung baru nya juga nyaman pelayanan  bagus, semoga tetap bisa menjaga kualitas dan pertahankan untuk pelayanannya
Sukses selalu RSUD Kajen",gedung nya nyaman layan bagus moga jaga kualitas tahan pelayanannyasukses rsud kajen,positif,positif
"9/10 Pernah di opnam di sini walaupun di rawat di bangsal karena kamar penuh tapi pelayanannya tetap bagus, tidak membeda2kan pasien..
Semoga pelayanannya tetap seperti ini yaa, sukses terus untuk rsud kajen 🥰 …",910 opnam rawat bangsal kamar penuh layan bagus membeda2kan pasiensemoga layan yaa sukses rsud kajen,positif,positif
"Pelayanan di bangsal anak sangat baik, susternya ramah..
Hanya kondisi ruangan saja yg perlu diperbaiki, Karena sempit untuk bangsal kelas 3 nya",layan bangsal anak suster ramahhanya kondisi ruang yg baik sempit bangsal kelas 3 nya,positif,positif
Ruang Flamboyan pelayanan baik..tapi ruangan panas kalo bisa pasang AC,ruang flamboyan layan baiktapi ruang panas kalo pasang ac,positif,positif
"Pelayanan sigap,baik, pegawainya sangat-sangat ramah sekali",layan sigapbaik pegawai sangatsangat ramah,positif,positif
No review text,no review text,positif,positif
No review text,no review text,positif,positif
No review text,no review text,positif,positif
Pelayanan di RSUD Kajen sangat baik,layan rsud kajen,positif,positif
"pelayanan RSUD KAJEN sangat baik,ramah,tepat,dan cepat",layan rsud kajen baikramahtepatdan cepat,positif,positif
Pelayanannya cepat dan ramah❤️,layan cepat ramah,positif,positif
RSUD Kajen pelayanannya sangat cepat dan perawatnya sangat ramah ramah,rsud kajen layan cepat awat ramah ramah,positif,positif
"Pelayananya sangat memuaskan, cepat dan ramah❤",pelayananya muas cepat ramah,positif,positif
"Sangat baik dan pelayanan sangat ramah, recommend",layan ramah recommend,positif,positif
No review text,no review text,positif,positif
No review text,no review text,positif,positif
No review text,no review text,positif,positif
No review text,no review text,positif,positif
Ramah banget perawatnya pelayanan oke,ramah banget awat layan oke,positif,positif
Pelayanan baik,layan,positif,positif
"Pelayanan di RSUD KAJEN sangat baik, cepat dan ramah",layan rsud kajen cepat ramah,positif,positif
Sangat puas...,puas,positif,positif
Pelàyanan baik dan fasilitasnya juga baik,pelyanan fasilitas,positif,positif
"Rawat jalan di rsud kajen untuk pelayanan dan fasilitas teritama gedu g baru sangat bagus.... pegawai, perawat, juga dokter ramah",rawat jalan rsud kajen layan fasilitas teritama gedu g bagus pegawai awat dokter ramah,positif,positif
"Priksa di poli mata, sangat cekatan petugasnya perawat dan dokter juga ramah",priksa pol mata cekat tugas awat dokter ramah,positif,positif
